Brand,product_color,RAM_GB,ROM_GB,Offer,Ratings,Selling_Price,Total
Oneplus,Sierra Black,8,128,27,4.3,28399,38999
Oppo,Sunset Orange,8,128,28,4.3,16499,22999
Tecno,Eco Black,4,64,27,4.2,10849,14999
Redmi,Caribbean Green,4,64,32,4.3,10199,14999
Vivo,Starlit Blue,4,128,23,4.3,14499,18999
Vivo,Metaverse Green,4,64,19,4.3,14499,17990
Vivo,Surfing Blue,8,128,15,4.3,27999,32999
Vivo,Black Engine,4,128,21,4.2,17999,22999
Tecno,Tech Silver,4,64,24,4.2,10999,14499
Vivo,Elegant Black,12,256,24,4.2,27997,36999
Redmi,Obsidian Black,12,256,10,4.2,32999,36999
Iqoo,Interstellar Black,12,256,11,4.5,34595,38999
Iqoo,Frost Blue,12,256,12,4.5,33978,38999
Vivo,Metaverse Green,4,128,23,4.3,14499,18999
Oneplus,Jade Fog,8,128,1,4.4,28499,28999
Vivo,Black Engine,8,128,20,4.2,19999,24999
Vivo,Surfing Blue,12,256,22,4.2,28490,36999
Vivo,Midnight Galaxy,8,128,24,4.3,17999,23990
Samsung,Stardust Brown,4,64,23,4.1,12990,16999
Vivo,Midnight Galaxy,4,128,27,4.5,14499,19990
Vivo,Starry Sky,4,128,27,4.5,14499,19990
Oppo,Starlight Black,8,128,27,4.2,23150,31999
Vivo,Starlit Blue,6,128,22,4.3,15499,19990
Oppo,Starry Black,8,128,28,4.3,16499,22999
Realme,Prime Blue,4,64,7,4.2,11973,12999
Infinix,Snowfall,6,64,25,4.2,14999,19999
Vivo,Starry Sky,8,128,24,4.3,17999,23990
Samsung,Awesome Graphite,8,256,16,4.2,32999,39499
Poco,Snowstorm White,12,256,15,4.2,33999,39999
Realme,Speed Black,6,128,27,4.3,12999,17999
Vivo,Starry Sky,6,128,23,4.4,15999,20990
Vivo,Midnight Galaxy,6,128,23,4.4,15999,20990
Samsung,Phantom Black,8,128,50,4.5,49999,101999
Itel,Starry Black,1,16,27,4.3,4325,5999
Motorola,Lunar Blue,8,256,14,4.2,29999,34999
Vivo,Turbo Cyan,8,128,19,4.4,24999,30990
Oneplus,Forest Green,12,256,18,4.0,34990,42999
Google,Obsidian,8,128,16,4.3,49999,59999
Google,Snow,8,128,16,4.3,49999,59999
Vivo,Turbo Cyan,6,128,17,4.4,23999,28990
Vivo,Orange Shimmer,8,128,20,4.2,19999,24999
Oppo,Glowing Black,8,128,16,4.1,18464,21999
Redmi,Thunder Black,4,64,15,4.2,13499,15999
Realme,Oxygen Green,4,128,18,4.4,11385,13999
