Brand,product_color,RAM_GB,ROM_GB,Offer,Ratings,Selling_Price,Total
Samsung,Copper,3,64,16,4.2,9999,11999
Lava,Glass Blue,4,64,21,4.1,8989,11499
Samsung,Blue,2,32,22,4.1,8150,10499
Redmi,Mint Green,4,64,16,4.2,9195,10999
Redmi,Sea Green,4,64,31,4.1,8229,11999
Lava,GLASS LAVENDER,4,64,13,4.1,8690,9999
Vivo,Cosmic Grey,4,64,28,4.1,9999,13999
Vivo,Sunset Gold,4,64,28,4.1,9999,13999
Nokia,Charcoal,4,128,9,3.7,9999,10999
Tecno,Black,128,8,18,4.1,10195,12499
Motorola,Tahiti Blue,4,64,16,4.1,9999,11999
Infinix,Obsidian Black,4,64,13,4.3,9499,10999
Redmi,Aqua Blue,4,64,33,4.1,7346,10999
Tecno,Diamond Grey,3,64,9,4.2,9999,10999
Lava,Glass Red,3,64,7,4.0,8989,9699
Lava,Glass Black,3,64,10,4.0,8699,9699
Redmi,Classic Black,4,64,33,4.1,7303,10999
Redmi,Gold,3,32,3,4.4,10649,10999
Lava,Glass Red,4,64,21,4.0,8999,11499
Nokia,MINT,4,64,12,3.7,9149,10499
Redmi,?Aqua Blue,4,64,32,4.1,8150,11999
Samsung,Black,4,64,22,4.5,9999,12900
Redmi,Slate Grey,3,32,4,4.1,9599,9999
Samsung,Blue,4,64,22,4.5,9999,12900
Nokia,Beach Pink,4,128,9,3.7,9999,10999
Lava,Aqua Blue,6,64,20,4.0,8888,11249
Moto,Oxford Blue,3,32,9,4.1,9999,10999
Moto,Fine Gold,3,32,9,4.1,9999,10999
Nokia,Mint,4,128,13,3.7,9499,10999
Nokia,Sand,4,64,10,4.2,8470,9499
Redmi,Lavender Purple,4,64,31,4.2,9588,13999
Tecno,Meta Green,128,8,20,4.1,9935,12499
Redmi,Royal Blue,4,64,13,4.2,9495,10999
Nokia,Mint,4,128,9,3.7,9990,10999
Nokia,Beach pink,4,64,12,3.7,9149,10499
Nokia,Dark Cyan,3,64,6,4.3,8599,9199
Nokia,Charcoal,3,64,6,4.3,8599,9199
Nokia,Purple,4,64,10,4.2,8475,9499
Vivo,Starry Blue,2,32,16,4.3,9990,11990
Oppo,Black,3,32,9,4.4,9990,10990
Redmi,Matte Black,4,64,25,4.2,9670,12990
Redmi,Lavender Purple,4,64,32,4.2,9448,13999
Nokia,Beach pink,4,128,9,3.7,9997,10999
Realme,Dynamic Black,3,64,20,4.5,9499,11999
Nokia,Charcoal,4,64,8,3.9,8399,9199
I,Purple,6,128,16,3.6,9999,11999
Poco,Cool Blue,4,64,29,4.2,8499,11999
Infinix,Marigold,8,128,25,4.3,8999,11999
Infinix,Diamond White,8,128,25,4.3,8999,11999
Poco,Forest Green,4,64,29,4.2,8499,11999
Infinix,Glacier Blue,8,128,25,4.3,8999,11999
Infinix,Mirror Black,8,128,25,4.3,8999,11999
Vivo,Sapphire Blue,2,32,23,4.1,9999,12999
Infinix,Aegean Blue,4,64,13,4.3,9499,10999
Poco,Icy Blue,4,64,46,4.1,8499,15999
Poco,Power Black,4,64,46,4.1,8499,15999
Poco,Yellow,4,64,46,4.1,8499,15999
Motorola,Eco Black,4,64,33,3.9,7999,11999
Redmi,Light Green,3,32,40,4.1,6599,10999
Samsung,Light Green,4,64,33,4.1,7944,11999
Poco,Royal Blue,3,32,40,4.3,6499,10999
Motorola,Carbon Gray,4,64,18,4.1,8999,10999
Realme,Dark Green,3,32,26,4.5,8049,10999
Infinix,Turquoise Cyan,4,64,30,4.2,8999,12999
Realme,Light Silver,3,32,26,4.5,8049,10999
Infinix,7° Purple,4,64,30,4.2,8999,12999
Infinix,Polar Black,4,64,30,4.2,8999,12999
Infinix,Exploratory Blue,4,64,30,4.2,8999,12999
Itel,Dreamy Blue,4,64,17,4.2,7320,8899
Redmi,Light Green,2,32,30,4.2,6250,8999
Redmi,Black,2,32,32,4.2,6100,8999
Realme,Stripe Black,4,64,29,4.2,8499,11999
Tecno,Turquoise Cyan,4,64,29,4.3,8795,12499
Itel,Deep Ocean Black,2,32,24,4.3,6059,7999
Tecno,UYUNI BLUE,3,3,18,4.1,6749,8299
Motorola,Pink Clay,4,64,18,4.1,8999,10999
Redmi,Coral Green,3,32,15,4.2,7990,9499
Lava,Striped Blue,3,32,11,4.1,7499,8499
Tecno,UYUNI BLUE,4,64,15,4.3,7999,9499
Itel,Dreamy Blue,3,32,17,4.1,6879,8299
Itel,Luxurious Gold,3,32,15,4.1,6990,8299
Itel,Force Black,3,32,15,4.1,6999,8299
Redmi,Coral Green,2,32,14,4.1,7285,8499
Tecno,Turquoise Cyan,2,64,13,4.1,8650,9999
Tecno,Uyuni Blue,4,64,16,4.3,8398,9999
Tecno,Tahiti Gold,4,64,29,4.3,8870,12499
Tecno,Galaxy Blue,2,32,7,4.2,8288,8999
Realme,Carbon Black,4,64,10,4.3,8999,9999
Tecno,Maldives Blue,2,32,13,4.2,7799,8999
Lava,LAVENDER,4,64,12,4.1,8729,9999
Realme,Dark Blue,3,32,9,4.2,8188,8999
Vivo,Olive Black,2,32,23,3.8,8399,10990
Nokia,Charcoal,2,64,19,4.4,6999,8699
Redmi,Nature Green,2,32,11,4.3,7490,8499
Infinix,Morandi Green,3,32,10,4.3,8990,9999
Itel,Luxurious Gold,4,64,17,4.2,7314,8899
Itel,Force Black,4,64,15,4.2,7480,8899
Tecno,Iris Purple,4,64,37,4.2,8999,14499
Tecno,Atlantic Blue,2,64,18,4.1,8180,9999
Tecno,Glacier White,4,64,25,4.1,8888,11999
Nokia,Light mint,2,64,19,4.4,6999,8699
Lava,Flame Red,3,32,11,4.1,7999,8999
Nokia,White,3,32,32,3.8,8490,12499
Realme,Laser Black,3,32,10,4.3,8999,9999
Nokia,Cyan,3,32,27,4.1,7999,10999
Realme,Dark Blue,3,32,8,4.2,8199,8999
Panasonic,Rose Gold,3,32,9,3.9,8999,9990
